tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1753131235504013700,Happy Queen Day to my Mother..The GOAT ❤️🦅,en,Tweet,150,7350,663,177,340268,2024-02-01 14:00:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1740725117510889710,"Introducing Themes ETFs. 

Our ETFs seek to provide a way to own the opportunities that are shaping the future and moving markets, with expense ratios 40% cheaper than the average charged by our competitors.

*Access important risk disclosures at https://t.co/sAbHOMJC07",en,Tweet,19,53,9,6,2036456,2023-12-29 08:23:03,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,http://ThemesETFs.com,,
1742448078492164402,Very grateful for everyone who played some type of role in my career up to this point...more to come 🦅,en,Tweet,326,15266,2130,362,782259,2024-01-03 02:29:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1742311532212752497,New year - New ventures. Starting my new management company 2024.,en,Tweet,182,11557,1354,335,694495,2024-01-02 17:26:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1731849208615838004,Happy boss day PRINCE ❤️🦅,en,Tweet,41,4394,316,84,364309,2023-12-04 20:33:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1727125712677548311,THE LANVIN LAB BY FUTURE COLLECTION  https://t.co/5JebyimFED,en,Tweet,44,1957,296,81,338901,2023-11-21 19:43:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://us.lanvin.com/collections/future-collection,,
1725959996985520413,"LANVIN LAB 

Drop 1 available on 

20 November 2023

https://t.co/qMuK37jcEV https://t.co/ziXuP5NZFH",en,Tweet,67,4205,594,163,432492,2023-11-18 14:31:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://www.lanvin.com,video,https://video.twimg.com/amplify_video/1725959933542457344/vid/avc1/720x720/dbEiumEDhNy-yj4i.mp4?tag=14
1722756879472877953,LANVIN,ht,Tweet,36,5469,556,150,459304,2023-11-09 18:23:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1722545719360225546,NOV 18th Las VEGAS,es,Tweet,42,6021,484,183,614865,2023-11-09 04:24:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1762144258302042168,"$NVDA shot past $GOOGL and $AMZN in market cap after another historic quarterly report. Still, #technology is starting to lag. 

Is the #StockMarket already moving on to the next thing?
https://t.co/3Mf799uZ9b",en,Tweet,2,24,3,1,363802,2024-02-26 10:55:04,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","#technology,#StockMarket",https://bit.ly/3SWkhaj,,
1720981910858473783,This is ridiculous 😂,en,Tweet,337,15752,3592,301,1687186,2023-11-04 21:50:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1720683072134234514,Bosses tapin in wit Bosses,fr,Tweet,192,11702,2861,152,796273,2023-11-04 02:03:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1720604929667039445,We already WON,en,Tweet,536,28939,8938,336,1953467,2023-11-03 20:52:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1720569651027951689,Motivate the family Motivate the streets,en,Tweet,280,15744,4345,203,905039,2023-11-03 18:32:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1720292251958677971,Cut off all the bullshit people and get super focus 🦅,en,Tweet,1687,52275,21059,438,3340448,2023-11-03 00:10:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
