tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1761630348637565410,"@Tashas190Tasha Oh, my! Such setbacks are far from the turn we wanted your travel to take at the onset. Please feel free to DM your confirmation code. We'll look into updates and rebooking options if needed.",en,Reply,0,0,0,0,9,2024-02-25 00:52:59,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,
1761628789379883200,@DJMany You can always count on us to give the Golden treatment to our Gold Award-winning artist 😉!,en,Reply,0,0,1,0,134,2024-02-25 00:46:47,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,
1761617056703578419,"@BrittyLb86 While we never want to hear about difficult travel days, we love hearing about awesome members of our #AATeam! We'll share your kind words for Joanne with airport leadership so she can be recognized, and we're a DM away if you have any other questions during your journey.",en,Reply,0,0,0,0,25,2024-02-25 00:00:10,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",#AATeam,,,
1761615827667665234,"@tracy_schmitt This isn't the experience we had planned for your journey! Our teams are working on getting everyone to their destination safely, we do apologize for the inconvenience caused.",en,Reply,0,0,0,0,29,2024-02-24 23:55:17,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,
1761611168894865910,"@IPreferMonkeys You're welcome to meet us in our DMs with your confirmation code, and we'll have a closer look, because this isn't what we like to hear.",en,Reply,0,0,0,1,25,2024-02-24 23:36:46,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,
1761604783087972682,@drcruz32 We're hAApy Toni and Sharon could make your night! We'll share your kudos with the #AATeam for the AAmazing service.,en,Reply,0,0,0,0,27,2024-02-24 23:11:23,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",#AATeam,,,
1761600400170385721,"@BarryisLost We assure you gate changes and delays are always last resort. However, safety is our top priority! Join us in DM with your confirmation code, we'll take a look at your flight.",en,Reply,0,0,0,0,26,2024-02-24 22:53:59,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,
1761591446459539905,@alanzojordan That's certainly not what we want to hear. What seems to be the problem?,en,Reply,0,0,0,1,51,2024-02-24 22:18:24,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,
1761587191203910021,"@minmaxmgmt Seems we had a bit of a mix-up. The bag should be loaded on AA2676 tomorrow. From what we can see, it was last scanned in CLT. Our team will have it forwarded as soon as possible.",en,Reply,0,0,0,0,41,2024-02-24 22:01:29,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,
1761586416616698244,"@bettersafetynet We hate delays too. We always aim for on-time departures and arrivals, and we apologize for any inconveniences caused.",en,Reply,0,0,0,1,93,2024-02-24 21:58:25,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,
1761582434435412230,@NoWahala13 We're in your DMs!,en,Reply,0,0,0,0,42,2024-02-24 21:42:35,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,
1761580683720347760,"@mshrestha It's important to use that all customers feel welcome and valued every time they travel. Come on over to DMs with your confirmation code, and we'll share your feedback with the Inflight team.",en,Reply,0,0,0,0,49,2024-02-24 21:35:38,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,
1761577278314586324,"@saikumar127 We can confirm that both sets of requests are requested for your journey! Gentle reminder, please remove your six-letter confirmation code from the public view to assist with securing your personal details.",en,Reply,0,1,0,0,55,2024-02-24 21:22:06,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",,,,
