tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1781400515558994026',Welcome to The Real World 🤝 https://t.co/G0X8b4EUej,en,Retweet,44,425,28,37,114772,2024-04-19 15:12:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1781400437041639424/vid/avc1/1288x720/pyHlDpJO2fk00_-B.mp4?tag=14
'1781391268288876550',He’s right.,en,Tweet,114,1573,185,170,296192,2024-04-19 14:35:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1781388556671258962',"You are living in a country where people who are prepared to set themselves on fire walk amongst you.

Good luck.",en,Tweet,113,4241,384,459,282582,2024-04-19 14:25:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1781380212342550809',@JohanSalomon Why doesnt G6 work?,en,Reply,35,1558,22,143,235206,2024-04-19 13:51:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1781387048462561665',"@JohanSalomon Everyones saying qc8 which works, I saw g6 instantly and i think this works also? 

So both work.

BTW Epstein didnt kill himself and your elections are fake.",en,Reply,62,5200,172,136,137637,2024-04-19 14:19:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1624807572384391170',"If you take pride in your work you’ll do a good job.    

Pride in your body you’ll be in good shape.    

Take pride in yourself and you’ll be a good person.    

Losers preach humility - you need less of that.    

More PRIDE.",en,Retweet,1465,59304,6201,1618,4552115,2023-02-12 11:28:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1781369641463370203',"The Texan Takes It All | Tate Confidential Ep 227


Watch now: https://t.co/F5V7SVovXf",en,Tweet,69,802,71,105,101647,2024-04-19 13:09:53,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1781289556119023616/vid/avc1/1920x1080/rmcNXEXvsUp-B-8U.mp4?tag=16
'1781349087750562136',"@bangsta151 @Cobratate @TateTheTalisman @ProfStanciu Although it’s tates product, compared to the other protein powder on market it’s actually insanely good regardless if you like Tate or not. 

Just purchased, way better than the standard stock market flavoured proteins available.",en,Retweet,5,343,17,36,201929,2024-04-19 11:48:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1760028132923625591',https://t.co/60kC001tBy,zxx,Reply,209,9479,490,333,5852156,2024-02-20 14:46:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://twitter.com/cobratate/status/1738538369557090317,,
'1780282528584130703',https://t.co/J4ZcWqhHUC,zxx,Reply,37,794,46,70,464962,2024-04-16 13:10:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://twitter.com/cobratate/status/1762384510195249278,,
'1781345127048380475',https://t.co/S2UlOqGp14,zxx,Reply,15,535,36,71,180787,2024-04-19 11:32:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://twitter.com/cobratate/status/1762490137957548423,,
'1781310910478364894',"Crime is starting to pay. 

The risk is being constantly lowered in face of overwhelmed and weakening law enforcement and judicial punishment. 

The reward is being increased when compared to underpaying jobs in the face of inflation.  

Now that risk is less than the reward - society will collapse.",en,Tweet,241,3633,350,338,477427,2024-04-19 09:16:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1781294461298815403',@benshapiro https://t.co/nT8WBJOVQi,zxx,Reply,142,11784,353,268,229700,2024-04-19 08:11:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,animated_gif,https://pbs.twimg.com/tweet_video_thumb/GLht3izWcAAF3BC.jpg
'1781202337026974076',"Young Kings.

The best thing about being rich isn't only doing what you want.

It's SAYING what you want.

Most of you are muzzled because you're poor.

You can't say what you think to your boss, or your woman.

You're a slave.",en,Retweet,60,810,84,51,115404,2024-04-19 02:05:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1781280556157751464',"When in doubt use https://t.co/N545QW0DMw 

That’s what we bought it for 😎.",en,Retweet,51,904,58,75,263979,2024-04-19 07:15:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://www.university.com,,
'1781289176245121205',GM. https://t.co/iJbot3KxGQ,und,Tweet,680,10967,366,696,849520,2024-04-19 07:50:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1781289094397497344/vid/avc1/720x1280/oNxMg4IAcehXBhNQ.mp4?tag=14
'1781284913070633349',"Slavery is coming for you and your family.

Are you really just going to stand there and do nothing about it?

Not even TRY to fight back? https://t.co/Bi68tePO5u",en,Tweet,284,2240,246,245,187558,2024-04-19 07:33:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1781284826592497664/pu/vid/avc1/720x1288/5xpQDn97niUONVC3.mp4?tag=12
'1780564363663081644',Do you realize how much harder it is to give up when you know you're being watched by men you respect?,en,Retweet,98,1320,144,54,158398,2024-04-17 07:50:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1767617913198940592',Hard to kill. https://t.co/F3AduUZTZ3,en,Retweet,3438,192543,13537,4095,12619618,2024-03-12 14:25:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GIfXGRhXwAA-t8u.jpg
'1781271713138778264',https://t.co/czZYLnzuH2,zxx,Tweet,290,3913,413,268,238459,2024-04-19 06:40:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GLhZKKmWkAA4t3D.jpg
