tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1750241931626426515,BREAKING: Colorado Governor Responds To Citizens' Ebola Outbreak Concerns https://t.co/X9DEW4qMs8,en,Tweet,89,771,321,55,73355,2024-01-24 14:39:29,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1750241129520353281/vid/avc1/1280x720/IhVAlhgR6jaSydx7.mp4?tag=14
1750232490004946981,"Humanity is under attack. It’s in the food, it’s in the water, it’s in the air. Wake up!",en,Tweet,108,4969,856,213,257585,2024-01-24 14:01:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1750220719483466115,"Breaking! Governor of Colorado Responds To Citizens Ebola Outbreak Concerns.

I'm about to cover this developing story with the Doctor who first broke it.

Tune in now
https://t.co/OQtch0tDED",en,Tweet,37,1411,470,108,99988,2024-01-24 13:15:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://infowars.com/show,,
1750207418594701561,"LIVE IN ABOOT 10 MINUTES.

Talking about the Federal court ruling coming out of Canada.",en,Retweet,13,575,125,56,96653,2024-01-24 12:22:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1750161955015327757,Must share truth.,en,Tweet,132,10901,2272,154,333908,2024-01-24 09:21:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1750151915323727900,"Watch the deputy head of the WEF defend the seizing of peaceful Canadian lockdown protesters bank accounts. Around the world governments and leftest celebrated the move as the model for future political control. This is what the CBDC is all about. Vax passports, carbon taxes and total surveillance. 1984 on steroids is what they are building and Canada is the model. This ruling is a good step in stoping it’s rollout. Go Canada!!",en,Tweet,195,7095,2334,472,388038,2024-01-24 08:41:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1749967516426711372,This clip from 2002 has gone viral hundreds of times but it’s almost always cut short. This is the full clip please watch and share. People ask how I predicted what’s happening in our world today with such precision twenty years ago. The answer is key. I investigated the globalist own documents. We have the enemy’s battle plan. If we fail now it’s our fault!,en,Tweet,3031,20348,6685,373,1404260,2024-01-23 20:29:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1750144890229440589,@MichelleWhitzel I tell you in the post.,en,Reply,1,189,6,9,8421,2024-01-24 08:13:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1750005504913318325,"We've moved beyond the crossroads,

It's time to choose a side. https://t.co/nvuRgZRuql",en,Tweet,260,3576,865,212,187133,2024-01-23 23:00:00,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1749970377286057985/vid/avc1/1280x720/86izeyWsfP4xFcVJ.mp4?tag=14
1749962487867294195,Donald Trump wins the New Hampshire Primary.  Cheers  #NewHampshirePrimary https://t.co/i0gQVPqy0m,en,Retweet,42,4027,765,228,254599,2024-01-23 20:09:04,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#NewHampshirePrimary,,video,https://video.twimg.com/ext_tw_video/1749962475410235393/pu/vid/avc1/1280x720/qpqm7bCiwigTGGdz.mp4?tag=12
