tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1884997422406901819',"RT @SenRandPaul: Today, at @RobertKennedyJr's HELP hearing, I made it clear that we need medical freedom. 

There's such a belief in submission. 

""Submit to the government. Do what you're told."" 

There is no discussion. There ought to be a debate.

RFK Jr. has my vote. MAHA! https://t.co/F0AnthzFHf",en,Retweet,2049,66901,10650,2765,1632017,2025-01-30 11:09:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1884993819864666112/pu/vid/avc1/960x540/82FFfx5xL07GIez_.mp4?tag=12
'1884667271420788761',"RT @SenThomTillis: .@RobertKennedyJr knocked this one out of the park.

There's a reason Democrats have been repeatedly cutting him off so he can't give full answers. https://t.co/TrLHsIpIqO",en,Retweet,1154,31750,5317,2471,886918,2025-01-29 13:17:47,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",,,video,https://video.twimg.com/amplify_video/1884666806331199488/vid/avc1/1280x720/hASU1QFp9CM-HKAC.mp4?tag=14
'1884624827967062444',"RT @charliekirk11: RFK JR: ""The first thing I've done every morning for the past 20 years - is get on my knees and pray to God that He would put me in a position to end the chronic disease epidemic and to help America's children.""

This is exactly the man we need at HHS. https://t.co/fLEcuDX9hv",en,Retweet,2507,144557,19225,3051,2561562,2025-01-29 10:29:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1884624072061145088/pu/vid/avc1/1280x720/f6ZRxcu64a5Pshv3.mp4?tag=12
'1884641375599067383',"RT @RapidResponse47: Sen. @SteveDaines to RFK Jr: “You mentioned that you want to make HHS the gold standard of science. I have found my engagements with you both behind closed doors in my office, as well as listening to you publicly to be very thoughtful and science based.” https://t.co/ppZTDQdKfG",en,Retweet,234,15819,2570,390,567713,2025-01-29 11:34:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1884641238919557120/vid/avc1/1280x720/3YtOlMZE7VYIUaks.mp4?tag=14
'1884621047594459487',"RT @RapidResponse47: Chairman @MikeCrapo at Robert F. Kennedy, Jr.'s hearing before the Senate Committee on Finance: 

""You have been accessible to members and staff on both sides of the aisle — and have demonstrated strong commitment to fulfilling the responsibilities of this role."" https://t.co/IP3924U9lb",en,Retweet,128,8699,1387,299,341979,2025-01-29 10:14:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1884620641619320832/pu/vid/avc1/1280x720/priG7vOT70satGF6.mp4?tag=12
'1882944232647725462',RT @HHSGov: Please join us in welcoming our new HHS leadership: https://t.co/9BcIJEbVX1,en,Retweet,224,6348,1887,744,568903,2025-01-24 19:11:03,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>",,,photo,https://pbs.twimg.com/media/GiGPyljWsAA7Zb8.png
'1882848590563065858',"JFK warned that “The very word ‘secrecy’ is repugnant in a free and open society; and we are as a people inherently and historically opposed to secrecy … We decided long ago that the dangers of excessive and unwarranted concealment of pertinent facts far outweighed the dangers which are cited to justify it.”

The 60-year strategy of lies and secrecy, disinformation, censorship, and defamation employed by Intel officials to obscure and suppress troubling facts about JFK’s assassination has provided the playbook for a series of subsequent crises — the MLK and RFK assassinations, Vietnam, 9/11, the Iraq war and COVID — that have each accelerated the subversion of our exemplary democracy by the Military/Medical Industrial Complex and pushed us further down the road toward totalitarianism.

“A nation that does not trust its people is a nation that is afraid of its people.” A government that withholds information is inherently fearful of its citizens’ ability to make informed decisions and participate actively in democracy. 

Thank you, President Trump for trusting American citizens and for taking the first step down the road towards reversing this disastrous trajectory.",en,Tweet,8624,210118,40231,7358,7762679,2025-01-24 12:51:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1872767782070501793',"Epic day on Ajax with Finn, Aidan, Conor and race legend Bode Miller, history’s greatest Alpine skier. https://t.co/8P8iPQwSTD",en,Tweet,206,24379,2838,2377,1084476,2024-12-27 17:13:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gf1oH6GWAAArPnt.jpg
'1871996177279029524',Merry Christmas!🎄 https://t.co/RmknrSdNoW,et,Tweet,400,80042,5488,3866,1900920,2024-12-25 14:07:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GfqqT_cXEAAsDz0.jpg,https://pbs.twimg.com/media/GfqqT_dXwAAPS-m.jpg,https://pbs.twimg.com/media/GfqqT_cXMAAyeg9.jpg"
'1871786534929924337',@marknorm Trust me. And I have plans.,en,Reply,113,9084,253,171,159463,2024-12-25 00:14:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1871391624665985360',@BehizyTweets @DonaldJTrumpJr @seankelly25 Im very grateful to Don for his hard work in bringing our campaigns together,en,Reply,21,2393,184,112,34980,2024-12-23 22:05:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1870136610962248072',RT @TeamTrump: .@RobertKennedyJr is going to make a FANTASTIC HHS Secretary! https://t.co/amA4HkXHgQ,en,Retweet,204,9730,2561,953,811869,2024-12-20 10:58:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1870136390001782784/pu/vid/avc1/1280x720/ONaFerdKhciBjEtx.mp4?tag=12
'1870162594943631685',Thank you for taking the time to meet Senator @LindseyGrahamSC. I so enjoyed our conversation.,en,Tweet,86,8705,1095,1220,1023992,2024-12-20 12:41:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1869903263853588601',"@WriterPaulBond thanks for doing your homework, Paul. That is one of the hallmarks of your journalism.  You may be the last Journalist .",en,Reply,7,252,15,14,9316,2024-12-19 19:30:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1869898474306556000',Thank you @SenToddYoung for meeting with me today. I enjoyed our conversation and look forward to working with you to rebuild Americans’ trust in our public health institutions.,en,Tweet,72,9614,1166,661,911196,2024-12-19 19:11:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1869805331154645055',Thank you for a wonderful meeting today Senator @MarshaBlackburn. I look forward to working with you to Make America Healthy Again.,en,Tweet,97,20644,2395,730,747611,2024-12-19 13:01:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1869582731639935199',Thank you @SenatorHagerty for your vote of confidence and our wonderful conversation today.,en,Tweet,100,13376,1554,486,815564,2024-12-18 22:17:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1869581253755961639',"Rand, thank you for your long history of courage and integrity and your commitment to freedom and public health.",en,Tweet,392,67552,8287,1263,1377359,2024-12-18 22:11:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1869580631623225764',Thank you for hosting me in your office @SenKatieBritt. It was fun reminiscing about my year in Alabama and learning of your admiration for Judge Frank Johnson about whom I wrote my first book. I'm looking forward to working with you to Make America Healthy Again.,en,Tweet,90,12063,1377,314,704547,2024-12-18 22:08:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
