tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1759807759393169446,"We're building @UnderratedGolf overseas! 
 
England, with the help of @united , here we come! #ugtour #golf https://t.co/RYqXETPdSP",en,Tweet,23,2022,140,53,265771,2024-02-20 00:10:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ugtour,#golf",,video,https://video.twimg.com/amplify_video/1759807539921997824/vid/avc1/720x1280/1wFAV05DHENQun4c.mp4?tag=14
1759803394917900462,#10 in the books!! A lot of GOOD happening this weekend in Indy…next year we turn up in the Bay! https://t.co/a97tFlWEdJ,en,Tweet,131,21813,1750,211,823470,2024-02-19 23:53:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GGwT3BobgAEoktB.jpg,https://pbs.twimg.com/media/GGwT3BmbIAAm-NB.jpg,https://pbs.twimg.com/media/GGwT3BqaMAAXtrm.jpg,https://pbs.twimg.com/media/GGwT3BobwAAGi6v.jpg"
1758880707689193784,Good times with a great shooter for an awesome cause. Get ya 🍿 ready. https://t.co/suFQ0e55aR,en,Tweet,73,8337,700,161,376505,2024-02-17 10:46:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1758880655038164992/vid/avc1/480x848/LQqBSyVVmQb9lHqH.mp4?tag=14
1758743613251440667,My guy! @brandinpodziem2,en,Tweet,150,26318,1340,177,1458791,2024-02-17 01:42:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1758538327509393782,"Shoutout to @BIFCGlobal and #pierreblancstudios (aka Paul Richards) for my 🔥game day fit…”opulence meets leisurewear” as Paul would say! Support Black designers during Black History Month (and every month) on @rakuten at https://t.co/9ni3N5UMtR
  #RakutenPartner https://t.co/RtHMby0an0",en,Tweet,15,3079,213,79,207109,2024-02-16 12:06:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#pierreblancstudios,#RakutenPartner",https://go.rakuten.com/sc30bifcif,photo,"https://pbs.twimg.com/media/GGeVSTnaIAE_twC.jpg,https://pbs.twimg.com/media/GGeVSTkbwAEgAJo.jpg,https://pbs.twimg.com/media/GGeVSTlboAA03u6.jpg"
1759566477017890912,"Step into the minds of the world's top investors and business #leaders from the ""Risk and Rewards"" panel at #FIIPRIORITY. Get ready to tune in to their insights on the future of public vs private #markets and how they're adapting their strategies for success in 2024 and beyond.",en,Tweet,3,45,0,2,432658,2024-02-19 08:11:53,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","#leaders,#FIIPRIORITY,#markets",,,
1757489096954720551,All love for my Curry Brand and @UnderArmour fam. Now let me see you do your thing! https://t.co/5T4GDv6Rsw,en,Tweet,139,11375,945,177,419080,2024-02-13 14:37:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1757489040243535873/vid/avc1/720x1280/6ybrOcdN020uEUae.mp4?tag=14
1756761747040690587,This pre-game outfit was designed by Keith Herron of @advisry. I’m partnering with @Rakuten & @BIFCGlobal to showcase designers like Keith because there’s so much heat in this line! 🔥 Celebrate Black History Month & support Black designers at https://t.co/3a1evuyjoC #RakutenPartner,en,Tweet,34,4031,327,99,258672,2024-02-11 14:26:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://go.rakuten.com/sc30bifcif,photo,"https://pbs.twimg.com/media/GGFFcXCbUAA7RRY.jpg,https://pbs.twimg.com/amplify_video_thumb/1756761683199176704/img/xmuttfmwcptXoTVv.jpg,https://pbs.twimg.com/media/GGFFcXDbgAA-wji.jpg,https://pbs.twimg.com/amplify_video_thumb/1756761683190833152/img/RM-U6vNryczm7bF0.jpg"
1754912882943525190,Many accomplishments made this year. Extremely grateful for our @eatlearnplay team! Make moves for Oakland. More to come in 2024 🙌🏽,en,Tweet,19,3008,201,102,399912,2024-02-06 12:00:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1753277653866700873,"I never take these acknowledgments for granted! The coaches voted me in this year, but thank you to you fans who voted too. Came a long way and still got some more ground to cover. See y’all in Indiana 🙏🏽 https://t.co/k4XQiaACFA",en,Tweet,236,24226,2442,543,1082353,2024-02-01 23:42:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1753277596199219200/vid/avc1/720x1560/V4_t1HrL-eB3aJEf.mp4?tag=14
