tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1872060723721130182',Look at that horse. https://t.co/2AtteP5lZk,en,Tweet,7993,199127,39620,6969,59755999,2024-12-25 18:23:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1872060572365365248/vid/avc1/1920x1080/EzSTDDIKsWFy2JC5.mp4?tag=16
'1871601919879504138',"I’m sending you big joy and love on this Cowboy Christmas Eve ❤️ I’ll see y’all tomorrow, in my city HTX 🤟🏽🏈🪕🌵🎄 https://t.co/DFNmOjZNLr",en,Tweet,3232,90451,16833,2469,5299769,2024-12-24 12:00:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1871601808818462720/vid/avc1/1920x1080/6K-fAl2nvF6iCc48.mp4?tag=16
'1866865665539518886',"A Cowboy Carter Christmas. HOUSTON, TEXAS 12.25 https://t.co/AtBhqfuimt",en,Tweet,3214,75391,15741,2331,4349327,2024-12-11 10:20:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1866865470655053824/vid/avc1/1920x1080/qHtaKDcd1ksYDX-x.mp4?tag=16
'1858372823162708166',"HOUSTON, TEXAS - 12.25.24 https://t.co/8LHN2uvwma",en,Tweet,4365,102528,21592,3621,7860023,2024-11-17 23:53:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1858372743819104256/vid/avc1/1280x720/oztV4FjbAblbxV1q.mp4?tag=16
'1773877818373673229',"COWBOY CARTER OUT NOW — AVAILABLE AT https://t.co/d7IaXLoU2H

#COWBOYCARTER  #actii https://t.co/qh9SxqL9xZ",en,Tweet,1742,64639,12633,6164,4520378,2024-03-29 21:00:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#COWBOYCARTER,#actii",http://SHOP.BEYONCE.COM,video,https://video.twimg.com/ext_tw_video/1773877365120380928/pu/vid/avc1/1280x720/cF0FcRJ5kfHSBqSQ.mp4?tag=12
'1770118330382434677',act ii     COWBOY CARTER      3.29 https://t.co/A6juEeny2P,en,Tweet,4365,220020,53847,7311,26678447,2024-03-19 12:01:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GJC5PTHbYAAvBgL.jpg
'1552871034394533888',RENAISSANCE… https://t.co/b8HYlHD2yU,fr,Tweet,6194,336332,69260,14245,,2022-07-29 00:18:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/ext_tw_video/1552870963644997633/pu/vid/1280x720/DV3JMQnO3aVHuHPk.mp4?tag=12
'1552865292996341762',https://t.co/wgYIRZg465,zxx,Tweet,3464,446065,69315,10175,,2022-07-28 23:55:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/FYzivkWUsAAraVv.jpg,https://pbs.twimg.com/media/FYzivkXUUAAqHLY.jpg"
'1542540338002219008',"act i   RENAISSANCE   7.29 
https://t.co/6sfw3sBWnz https://t.co/FPPhEW1OTK",en,Tweet,4857,487556,92159,12922,,2022-06-30 12:07:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://beyonce.com,photo,https://pbs.twimg.com/media/FWgzmXIVUAAfz6-.jpg
'1259199173586534402',"RT @MichelleObama: When we share honestly about our own experiences, we invite others to do the same. The connections we build in these moments of vulnerability are so powerful and so healing.

Tonight at 5pm ET, I hope you’ll join me for the BECOMING watch party. #WatchBecoming https://t.co/51nWi66k6S",en,Retweet,225,46673,5526,6128,,2020-05-09 15:10:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#WatchBecoming,,photo,https://pbs.twimg.com/media/EXmS-RNWsAQesCw.jpg
'1253522357391630336',.@BeyGOOD partners with @Jack Dorsey's #startsmall to support COVID-19 relief https://t.co/n6LwqKJW9m https://t.co/GeibDMvC5A,en,Tweet,142,40667,5947,6175,,2020-04-23 23:13:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#startsmall,https://www.beyonce.com/article/beygood-offers-aid-during-covid19-pandemic/,photo,https://pbs.twimg.com/media/EWVn3p6XgA0b3wH.png
'1239697115527315457',"RT @JasmynBeKnowing: Alright, let's do this thing!
How's Wednesday at 6 PM PST (9 EST)???
We can use the hashtag #HOMEcoming 😂 https://t.co/vPHSXvhaVm",en,Retweet,388,54520,8041,2944,,2020-03-16 19:36:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#HOMEcoming,,animated_gif,https://pbs.twimg.com/tweet_video_thumb/ETRJ9AhU8AE20st.jpg
'1218261759959670784',Live on https://t.co/SDScvRTZ6p 12 PM PST https://t.co/ozhQd1chIx,en,Tweet,579,95661,16624,4969,,2020-01-17 15:00:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://adidas.com,photo,https://pbs.twimg.com/media/EOgim93XsAUxOdm.jpg
'1152238456506114048',“Spirit”+ “Bigger” The extended cut from Disney’s The Lion King (Official Video) https://t.co/pPEqCVWcKB https://t.co/6X65FLVJ18,en,Tweet,536,92797,16184,5521,,2019-07-19 11:27:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://youtu.be/hiqLtqMDrXQ,photo,https://pbs.twimg.com/media/D_2SvTLW4AAnmZC.jpg
'1152071206608101384',THE LION KING: THE GIFT available to stream and download now.https://t.co/FMpGiICL7X https://t.co/HqfgYoRVO9,en,Tweet,336,87577,22982,4002,,2019-07-19 00:22:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://smarturl.it/lionkingthegift,photo,https://pbs.twimg.com/media/D_z6pz5U0AA2gud.jpg
'1151304148677222400',Watch #SPIRIT now #TheLionKing https://t.co/RYtZbQYCvn,en,Tweet,355,68950,21859,3995,,2019-07-16 21:34:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#SPIRIT,#TheLionKing",https://youtu.be/civgUOommC8,,
'1118413878596198400',#HOMECOMING out now. https://t.co/sa6OKEBvkb https://t.co/f7fNhYuzLc,en,Tweet,531,163585,50341,5404,,2019-04-17 03:20:22,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#HOMECOMING,http://www.beyonce.com,photo,https://pbs.twimg.com/media/D4VlVh1XkAEqGet.jpg
'1008102754802438144',"Stream #EverythingIsLove now, exclusively on TIDAL. Also stream a TIDAL-exclusive track. https://t.co/OHRZ7lnF8n https://t.co/70xd4Box4P",en,Tweet,269,99045,29356,4977,,2018-06-16 17:43:21,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#EverythingIsLove,http://EverythingIsLove.TIDAL.com,photo,https://pbs.twimg.com/media/Df1_x4gWsAEvIpR.jpg
'880817879280754689',"Mothers in Burundi want to provide clean, safe water for their children. Let's help them, together: https://t.co/zxxNOtfq2Z #BEYGOOD4BURUNDI https://t.co/olLsohhvvB",en,Tweet,86,66681,16514,5043,,2017-06-30 11:58:41,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#BEYGOOD4BURUNDI,http://www.beyonce.com/beygood4burundi/,photo,https://pbs.twimg.com/media/DDlLDqtUIAAbJxm.jpg
'724053681608527872',#LEMONADE the Visual Album. https://t.co/8LM6jOwNKe https://t.co/eV32dUg7Pj,en,Tweet,427,173116,88517,10420,,2016-04-23 21:53:44,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#LEMONADE,http://BEYONCE.TIDAL.COM,photo,https://pbs.twimg.com/media/Cgxa_INW4AAGBxz.jpg
'369557310412029952',"RT @jleicole For #WHD2013, I ran 5.312 @CharityMiles to help @GirlUp educate girls in the developing world. #EveryMileMatters
#BeyGood",en,Tweet,16,47153,16822,7690,,2013-08-19 16:31:43,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","#WHD2013,#EveryMileMatters,#BeyGood",,,
