tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1884107683130925399',This is a typical impersonation account. Please do not trust any information from this account.,en,Reply,40,3658,68,61,246024,2025-01-28 00:14:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1881318130334814301',"🚀 DeepSeek-R1 is here!

⚡ Performance on par with OpenAI-o1
📖 Fully open-source model &amp; technical report
🏆 MIT licensed: Distill &amp; commercialize freely!

🌐 Website &amp; API are live now! Try DeepThink at https://t.co/v1TFy7LHNy today!

🐋 1/n https://t.co/7BlpWAPu6y",en,Tweet,10705,36239,7335,1777,11390607,2025-01-20 07:29:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://chat.deepseek.com,photo,https://pbs.twimg.com/media/GhvI3AoaAAAw-4z.png
'1881318142083018951',"🛠️ DeepSeek-R1: Technical Highlights

📈 Large-scale RL in post-training
🏆 Significant performance boost with minimal labeled data
🔢 Math, code, and reasoning tasks on par with OpenAI-o1
📄 More details: https://t.co/jWMxMVhGAQ

🐋 4/n https://t.co/mIUBn3qJhQ",en,Reply,892,4756,760,168,1520416,2025-01-20 07:29:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://github.com/deepseek-ai/DeepSeek-R1/blob/main/DeepSeek_R1.pdf,photo,https://pbs.twimg.com/media/GhvH9szaYAAuuqQ.jpg
'1881318145761439995',"🌐 API Access &amp; Pricing

⚙️ Use DeepSeek-R1 by setting model=deepseek-reasoner
💰 $0.14 / million input tokens (cache hit)
💰 $0.55 / million input tokens (cache miss)
💰 $2.19 / million output tokens

📖 API guide: https://t.co/Qf97ASptDD

🐋 5/n https://t.co/v5ho1VOex5",en,Reply,576,3355,356,185,1076368,2025-01-20 07:29:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://api-docs.deepseek.com/guides/reasoning_model,photo,"https://pbs.twimg.com/media/GhvICi1a0AAoVhW.jpg,https://pbs.twimg.com/media/GhvIDGSaIAEyj9d.jpg"
'1879465495788917166',"🎉 Introducing DeepSeek App!

💡 Powered by world-class DeepSeek-V3
🆓 FREE to use with seamless interaction
📱 Now officially available on App Store &amp; Google Play &amp; Major Android markets
🔗Download now: https://t.co/DIwqqkbK93

🌟 1/3 https://t.co/QorHk2lEwj",en,Tweet,958,3980,759,266,1176982,2025-01-15 04:47:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://download.deepseek.com/app/,photo,https://pbs.twimg.com/media/GhUz5xPaYAAgYO_.jpg
'1879465509466587202',"✨ Key Features of DeepSeek App:

🔐 Easy login: E-mail/Google Account/Apple ID
☁️ Cross-platform chat history sync
🔍 Web search &amp; Deep-Think mode
📄 File upload &amp; text extraction

🌟 2/3 https://t.co/Wd760ELuGA",en,Reply,119,962,121,50,507033,2025-01-15 04:47:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GhUz6jobEAAr-2n.jpg,https://pbs.twimg.com/media/GhUz6jqaAAAr9IH.jpg,https://pbs.twimg.com/media/GhUz6jnbcAESEHU.jpg,https://pbs.twimg.com/media/GhUz6kkaoAAevKL.jpg"
'1879465514898272693',"⚠️ Important Notice:

✅ 100% FREE - No ads, no in-app purchases
🛡️ Download only from official channels to avoid being misled
📲 Search ""DeepSeek"" in your app store or visit our website for direct links

🌟 3/3",en,Reply,118,1428,128,80,434484,2025-01-15 04:47:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1872242657348710721',"🚀 Introducing DeepSeek-V3!

Biggest leap forward yet:
⚡ 60 tokens/second (3x faster than V2!)
💪 Enhanced capabilities
🛠 API compatibility intact
🌍 Fully open-source models &amp; papers

🐋 1/n https://t.co/p1dV9gJ2Sd",en,Tweet,5204,13301,2278,618,6830503,2024-12-26 06:26:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,animated_gif,"https://pbs.twimg.com/tweet_video_thumb/GfuKT4BbUAA3Wxh.jpg,https://pbs.twimg.com/media/GfuKUsuagAEfvM2.jpg"
'1877663619464478983',"DeepSeek has not issued any cryptocurrency. Currently, there is only one official account on the Twitter platform. We will not contact anyone through other accounts.Please stay vigilant and guard against potential scams.",en,Reply,506,6925,797,652,2105706,2025-01-10 05:27:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1872242663489188088',"💰 API Pricing Update

🎉 Until Feb 8: same as V2!
🤯 From Feb 8 onwards:
Input: $0.27/million tokens ($0.07/million tokens with cache hits)
Output: $1.10/million tokens

🔥 Still the best value in the market!

🐋 3/n https://t.co/OjZaB81Yrh",en,Reply,290,1619,135,50,629618,2024-12-26 06:26:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GfuKgsKbgAEjMty.jpg,https://pbs.twimg.com/media/GfuKj8iasAAN2eY.jpg"
