tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1759988822513709212,"We’re here to deliver results for families, for communities, for the country.
 
That’s why I’ve kept my commitment to leave no one behind, to rebuild an economy from the middle out and the bottom up. https://t.co/gwf5SVCsgn",en,Tweet,26,7513,1621,2703,412529,2024-02-20 12:10:08,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/GGy8fWPXIAECKc8.jpg
1759362431413895283,"Americans have filed for a record 16 million new business applications since I came into office. 

Every one of those applications is a sign of hope. https://t.co/j3TbdFL6vz",en,Tweet,117,22901,4105,4742,3142556,2024-02-18 18:41:05,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/GGqCympXMAENQpn.jpg
1758409912248336653,"Meet our incredible lineup of leaders across #finance, policy, innovation, government, and #business who will address humanity's core priorities and confront global challenges at the 2nd edition of #FIIPRIORITY #Miami. Be a part of the movement: https://t.co/aSKJZkgDFC https://t.co/b6GzFLgZd1",en,Tweet,1,56,4,3,681866,2024-02-16 03:36:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#finance,#business,#FIIPRIORITY,#Miami",https://bit.ly/FIIP2_Miami,photo,https://pbs.twimg.com/media/GGcdZGTWIAA9GBx.jpg
1759275587829485687,"The stakes in this election are higher than ever. 

We've made more progress in three years than most presidents make in seven or eight years, but it can all be wiped out in this election.

We must keep the White House, keep the Senate, and take back the House.",en,Tweet,203,28118,5769,13875,2834353,2024-02-18 12:56:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
1759253025443471849,"Like I told Eric, it isn’t easy being a dad to two boys, but I held on to two basic rules: Be honest and know you’ll make mistakes—but you have to get back up.

Christian and Carter, go easy on him. Dads like us are hard to raise. https://t.co/XzsndpDUww",en,Tweet,112,11041,2040,3262,929665,2024-02-18 11:26:21,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1759252940097814528/vid/avc1/1080x1920/SUVWXiXtImiW7PMb.mp4?tag=16
1759010590838706510,"In 2022, the “red wave” crashed up on a rock.
In 2023, we won close races.

When voters have a choice between what we stand for and what Trump and the MAGA Republicans stand for—we win.",en,Tweet,146,25602,4317,6832,2093603,2024-02-17 19:23:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
1758878976062140625,"MAGA Republicans want to cut taxes for the wealthy and large corporations, raise costs for middle class families, and cut Social Security, Medicare, and Medicaid.

I will stand in their way.",en,Tweet,214,37801,7840,16968,3885800,2024-02-17 10:40:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
1758597239927103903,"Aleksey Navalny's courage will never be forgotten.
 
This tragedy – further proof of Putin's brutality – reminds us of the stakes of this moment.
 
Failure to support Ukraine against his vicious onslaught will never be forgotten. https://t.co/h1AM76BV8K",en,Retweet,519,56405,12014,8215,3048821,2024-02-16 16:00:29,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,video,https://video.twimg.com/amplify_video/1758597154879205377/vid/avc1/1080x1920/k87g4H05oBYqbYYe.mp4?tag=16
1758586695203647588,"If you elect Donald Trump, he’ll implement a national abortion ban.

If you elect me, a Democratic House, and more Democratic senators, we’ll restore Roe.",en,Tweet,34,5345,1487,1344,1024793,2024-02-16 15:18:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1758545821681786896,Join me as I deliver remarks on the reported death of Aleksey Navalny. https://t.co/iIoPq7QKFv,en,Retweet,157,8013,1954,3091,1135756,2024-02-16 12:36:10,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,https://twitter.com/i/broadcasts/1ynJOyzeXblKR,,
