tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1760038821314404508,".@JoeBiden got us back on track from the failures of the last administration.

He built an economy that works for everyone and created nearly 15 million jobs along the way.

He didn’t just talk about infrastructure week, he passed historic bipartisan legislation to rebuild our nation’s crumbling infrastructure. He didn’t sit back and say Americans should get over gun violence, he took on the gun lobby and passed the first bipartisan gun legislation in 30 years.

That’s leadership.",en,Tweet,12,2730,651,582,152587,2024-02-20 15:28:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1760005163526365293,We are bringing manufacturing back to America. https://t.co/6w9fvWLTcF,en,Tweet,31,2597,624,692,184934,2024-02-20 13:15:04,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1755366833056604160/vid/avc1/1080x1920/RIUc3zjci1pDEOeX.mp4?tag=16
1759287987978842426,"Meet the speakers from our most anticipated panel at #FIIPRIORITY #Miami: The Board of Changemakers!
Discover their insights on navigating the complex interplay between the latest business trends &amp; regional outlooks, which will significantly influence the global economy in 2024. https://t.co/inOTdhxtgH",en,Tweet,2,31,3,2,329267,2024-02-18 13:45:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#FIIPRIORITY,#Miami",,video,https://video.twimg.com/ext_tw_video/1759287637783822337/pu/vid/avc1/720x720/qn4DsLsKS72y1OJL.mp4?tag=12
1759360536762880463,"It was an honor to represent the U.S. at the Munich Security Conference for the third year.

President Biden and I are committed to working with our allies and partners to ensure global stability and prosperity. This approach makes America strong, and it keeps Americans safe. https://t.co/wrJ7QHut3z",en,Retweet,46,6952,1417,1256,514773,2024-02-18 18:33:33,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,photo,"https://pbs.twimg.com/media/GGqBEO2WcAAwxi2.jpg,https://pbs.twimg.com/media/GGqBEnNXoAA-yKc.jpg,https://pbs.twimg.com/media/GGqBE-UXwAEubAq.jpg,https://pbs.twimg.com/media/GGqBFSjWUAALviO.jpg"
1759360921690886618,"Over the past three years, President Biden and I have: 

Created more than 14 million new jobs. 
Increased wages for tens of millions of Americans.  
Lowered costs for families.

We have more work to do, but it's clear: America's economy is strong and getting stronger. https://t.co/lVxYlflCi5",en,Tweet,74,17641,3273,7109,629570,2024-02-18 18:35:05,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/GGqBaubXkAA3zTB.jpg
1759317363214676194,".@JoeBiden knows the measure of true leadership is based on who you lift up, not who you beat down.

He always asks “What can I do to make life better for you?”

That is the kind of person that I want to lead our country.",en,Tweet,51,10263,2140,4456,672556,2024-02-18 15:42:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
1759269073169309966,"All children in America deserve to be safe from gun violence.

Congress must have the courage to act and pass commonsense gun safety laws, including an assault weapons ban. https://t.co/BvAk2Nr9Fb",en,Tweet,33,9515,1901,4012,510661,2024-02-18 12:30:07,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/GGot4bIWIAEgYb7.jpg
1759264132967088353,"The stakes of Ukraine’s fight for freedom and democracy remain high — for the entire world.

We will stand with Ukraine for as long as it takes. https://t.co/qtlMkKW6nP",en,Retweet,90,13797,2778,3031,597937,2024-02-18 12:10:29,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,video,https://video.twimg.com/amplify_video/1759264012758364160/vid/avc1/1080x1920/qUQzUm7NXi4Hgmu_.mp4?tag=16
1759229470085398854,"The majority of those in Congress know what is at stake when it comes to Ukraine. 

If our bipartisan national security funding bill were brought to a vote in the House, it would pass. https://t.co/knKhYFRob9",en,Retweet,43,6484,1676,1624,352610,2024-02-18 09:52:45,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,video,https://video.twimg.com/amplify_video/1759229210944528384/vid/avc1/1080x1920/oHPjEZ8YKwJ4J_zc.mp4?tag=16
1758989740047552702,This is who Joe is. https://t.co/I131R8xDi9,en,Tweet,45,9520,1857,2958,439011,2024-02-17 18:00:09,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/GGkv1GxXUAACdkU.jpg
1758959002682048707,"Across our country, extremists pass book bans and try to erase and rewrite the ugly parts of our past.

They insult us in an attempt to gaslight us, and we will not stand for it.

Let us not be distracted by what extremists are trying to do in their attempt to divide our country.",en,Tweet,30,5851,1215,1886,472072,2024-02-17 15:58:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
1758921756935405710,"It was my honor to meet with President Zelenskyy again. 

Our first meeting was at the 2022 Munich Security Conference on the eve of Russia’s invasion. Two years later, Kyiv stands free and strong. 

Under @POTUS and me, the United States will continue to stand with Ukraine. https://t.co/IrWeoIgTcw",en,Retweet,88,15764,2723,2687,697256,2024-02-17 13:30:00,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,photo,https://pbs.twimg.com/media/GGjg34FW0AEE2yI.jpg
1758876484763078686,President @JoeBiden and I have made incredible progress for Black Americans—slashing poverty among Black children and capping the cost of insulin for our seniors—and the work continues. https://t.co/xUQhlqnkff,en,Tweet,97,5688,1522,2409,497131,2024-02-17 10:30:06,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/GGjI0xvWgAE4713.jpg
1758840103303057494,Happening Now: I’m joining President Zelenskyy at the Munich Security Conference to make clear that President Biden and I stand with Ukraine amid Russia’s ongoing aggression. https://t.co/Yn4D5M24ZA,en,Retweet,44,4321,1050,836,368628,2024-02-17 08:05:32,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,https://twitter.com/i/broadcasts/1yoKMwlmLkYJQ,,
1758614844540887274,"Today in Munich, following the news that Aleksey Navalny has died in Russia, I expressed my deep sorrow and outrage to his wife, Yulia. My prayers are with her and his entire family. https://t.co/elhYHQFBw6",en,Retweet,205,30592,4448,1554,1080564,2024-02-16 17:10:27,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,photo,https://pbs.twimg.com/media/GGfa4XcXEAA471S.jpg
1758599165406310544,President Joe Biden and I stand with Ukraine. The failure to do so would be a gift for Vladimir Putin. https://t.co/RSTKguSC2w,en,Retweet,69,11851,2319,1682,533409,2024-02-16 16:08:08,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,video,https://video.twimg.com/amplify_video/1758599027346513920/vid/avc1/1080x1920/2QjUeoSKMacCEiwh.mp4?tag=16
1758626958076776683,"The way that President @JoeBiden's demeanor was characterized in the Hur report could not be more wrong.

It was clearly politically motivated.

As a former prosecutor myself—the comments that were made by that prosecutor were gratuitous, inaccurate, and inappropriate.

We should expect a higher level of integrity than what we saw from the prosecution.",en,Tweet,41,9565,1728,4190,696530,2024-02-16 17:58:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1758592084288610739,"Donald Trump supports a national abortion ban.

If Trump has his way, he'll gut abortion care in every state across the country.

President @JoeBiden and I will do everything in our power to stop him and restore women's reproductive freedom.",en,Tweet,14,1646,467,139,280477,2024-02-16 15:40:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
1758542719067009361,"We must reject the failed ideologies of isolationism, authoritarianism, and unilateralism. 

Let me be clear: that worldview is dangerous, destabilizing, and short-sighted. https://t.co/JwuxSb7ueK",en,Retweet,82,6267,1667,1069,371689,2024-02-16 12:23:51,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,video,https://video.twimg.com/amplify_video/1758542460454686720/vid/avc1/1080x1920/sfRlB2uGq0-80tSV.mp4?tag=16
1758517395692441709,"NATO is central to our approach to global security. 

For President Biden and me, our sacred commitment to NATO remains ironclad.",en,Retweet,22,4274,843,587,458938,2024-02-16 10:43:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1758520636039647548,It doesn’t have to be this way. https://t.co/pK0mqJmxhz,en,Tweet,41,9130,2234,3799,410960,2024-02-16 10:56:06,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/GGeFLqpWgAArT6k.jpg
1758485774436090263,Happening Now: Tune in to the Munich Security Conference as I speak about the importance of America’s continued global leadership and our sacred commitment to our NATO allies. https://t.co/uN7m0I7dff,en,Retweet,33,1778,501,484,259296,2024-02-16 08:37:34,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,https://twitter.com/i/broadcasts/1mnxepkDrMLJX,,
1758230978504303002,"In 2004, as District Attorney of San Francisco, long before the Supreme Court recognized a right to marriage equality, I was proud to marry Brad and Raymond.

Love is love. 

📸: Bradley Witherspoon and Raymond Cobane https://t.co/8TIBAnWJAD",en,Tweet,56,8166,935,758,387716,2024-02-15 15:45:06,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/GGZ9vXcXYAAZWLa.jpg
1758207297958932780,"I landed in Germany to attend the Munich Security Conference where I will make clear: America stands with our allies and partners, including NATO and Ukraine. https://t.co/gwmrtAchm1",en,Retweet,86,14518,2530,2169,646085,2024-02-15 14:11:00,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,video,https://video.twimg.com/amplify_video/1758207187116072960/vid/avc1/1920x1080/9WRYIrjYC9GcR6AO.mp4?tag=16
1758198241135317394,"Gun violence is the number one cause of death for children of America—not some form of illness or car accidents. 

It doesn’t have to be this way. 

I call on Congress and state legislators to have the courage to act by passing commonsense gun safety legislation.",en,Tweet,49,7315,1524,4750,1285915,2024-02-15 13:35:01,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
1758157733788872965,"Yesterday was supposed to be a day of celebration for a community to come together and feel a sense of joy. 

And yet, it was another day when America experienced senseless gun violence. 

Congress must have the courage to act with reasonable gun safety laws.",en,Tweet,15,5212,885,1549,358810,2024-02-15 10:54:03,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
1757970375387029551,"As news broke of nearly two dozen people being shot following the Kansas City Chiefs' Super Bowl parade, I was brought back to Valentine’s Day 2018 when we learned of the mass shooting in Parkland, Florida.

I join all those across America who are saying the same thing we said six years ago: Enough is enough. This senseless violence must stop.

We mourn the lives lost, grieve for the injured, and are thinking of the families whose lives are forever changed by the trauma of gun violence. We continue to call on Congress and state legislators to have the courage to act by passing commonsense gun safety legislation.

We can change this, and we will.",en,Retweet,60,9870,1793,1764,941328,2024-02-14 22:29:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1757791062880387424,"This week, I will return to Germany for the third year in a row to represent the United States at the Munich Security Conference. I look forward to seeing our allies and partners and reaffirming our commitment to support the people of Ukraine and to the NATO Alliance. https://t.co/zeDP13zCr0",en,Retweet,39,5337,1176,779,400255,2024-02-14 10:37:02,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,photo,"https://pbs.twimg.com/media/GGTto5ZXIAA_a2Y.jpg,https://pbs.twimg.com/media/GGTtpMbX0AAjLIU.jpg,https://pbs.twimg.com/media/GGTtpjjXQAARLOf.jpg,https://pbs.twimg.com/media/GGTtp3aW4AAydIE.jpg"
1757821070696907244,"Twenty years ago today, I had the honor as District Attorney of San Francisco to perform some of our nation's first same sex marriages. 

This week, I caught up with Brad and Ray, one of the couples that I married on that joyful day. https://t.co/B73qGQ69k8",en,Retweet,61,6570,1317,701,364008,2024-02-14 12:36:16,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,video,https://video.twimg.com/amplify_video/1757820745676136448/vid/avc1/1080x1920/GRm5MMbCsieMiC6F.mp4?tag=16
1757800144265744608,"There is no better partner to have on this incredible journey. Happy Valentine’s Day, Dougie. https://t.co/uCB6Rzms3S",en,Tweet,185,46997,3045,3197,3219194,2024-02-14 11:13:07,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/GGT15ktWUAAM19_.jpg
1757550976951558427,"I’ve been with @JoeBiden in the Oval Office when the cameras are there and when they are not. 

Joe Biden is a historic President who has brought folks together across the nation and the world. 

He leads with compassion and strength.",en,Tweet,141,15075,2592,10276,5421685,2024-02-13 18:43:01,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
1757468935476093330,Our nation is beating economic forecasts and breaking records for job growth. https://t.co/dd2CCxGJUU,en,Tweet,40,4016,1040,2535,288987,2024-02-13 13:17:01,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1753462535506800640/vid/avc1/1080x1920/BF_Fz2Lf0lUuVrpH.mp4?tag=16
1757468032375328862,"Thank you for sharing your cooking with me, Chef Jeff.

It reminded me of my second mother, Mrs. Shelton, and all the ways food can bring people together. https://t.co/RlVqtMJV0b",en,Retweet,58,4582,938,932,316643,2024-02-13 13:13:25,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,video,https://video.twimg.com/amplify_video/1757467837583560704/vid/avc1/1080x1920/qYzQwWZPr052EU8r.mp4?tag=16
1757168222875365471,The American people have voted for freedom by overwhelming majorities. https://t.co/NEsRb0V0Le,en,Tweet,25,6322,1508,1587,309587,2024-02-12 17:22:05,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/GGK3K28XwAAD56w.jpg
1748401881922081218,"Secure your school's learning environment with trusted device insurance! 🎒📱 From laptops to tablets, we've got you covered against accidents &amp; mishaps. 🏫🛡️ #SchoolInsurance #DeviceProtection #EdTech 

https://t.co/8d5uH8SNfW",en,Tweet,13,61,7,6,1052296,2024-01-19 12:47:47,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","#SchoolInsurance,#DeviceProtection,#EdTech",https://worthavegroup.com/education,,
1757121221286674827,"The comments made in the Hur report were gratuitous, inaccurate, and inappropriate. 

It was clearly politically motivated. https://t.co/fwyq4mTwAk",en,Tweet,93,14437,3209,5916,634786,2024-02-12 14:15:19,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1757121157126389760/vid/avc1/1080x1080/yyFL41pRUrmHsEq8.mp4?tag=16
1757083514820850107,We will not build a better future by trying to erase America’s past. https://t.co/BHa7WPaH50,en,Tweet,77,7276,1782,3131,374809,2024-02-12 11:45:29,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1757083408218427392/vid/avc1/1080x1920/1pWidXZDUPhy59D1.mp4?tag=16
1756891128446460034,"From this Niners fan to Chiefs Kingdom: Congratulations on your Super Bowl victory.

This Kansas City Chiefs team is a force. Your skill and determination this season were an inspiration to us all. I’ll see you at the White House.",en,Retweet,65,21582,2391,941,875734,2024-02-11 23:01:01,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",,,,
1756785220143952336,"As extremists continue to attack reproductive freedom, President @JoeBiden and I will fight back. https://t.co/tLzSG04emp",en,Tweet,25,6247,1462,1932,322110,2024-02-11 16:00:10,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/GGFa1JvW4AAhEON.jpg
1756741414296105076,Game day ready. #FTTB https://t.co/P6ZN4NNUFJ,en,Retweet,607,32861,3976,3866,3167215,2024-02-11 13:06:06,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">The White House</a>",#FTTB,,video,https://video.twimg.com/amplify_video/1756741331253108736/vid/avc1/1080x1920/Ug9uKPzeOZHcNIoK.mp4?tag=16
1756737363655406046,"Donald Trump applauds dictators and has said that’s the role he intends to take on if reelected.

He has talked about weaponizing the Department of Justice to exact consequences on those whom he has determined are his political enemies.

The choice is clear in 2024.",en,Tweet,60,9361,2210,5710,726092,2024-02-11 12:50:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
