tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1759074255663145414,@CuffsTheLegend Almost! 👀,en,Reply,65,3102,57,264,637365,2024-02-17 23:35:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1758516669041811560,"I am so blessed to have such an incredible team @makespringhill.  We founded this company because we wanted to empower not just athletes, but our community.  When I look around, I see nothing but more opportunities to continue empowering.  My deepest gratitude and love to all of you.  You know who you are.",en,Tweet,16,1085,100,251,817801,2024-02-16 10:40:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1758504358390427794,"@OHSAASports Cool cool cool but when will the Board of Directors approved a shot clock for Boys &amp; Girls basketball??? We have to grow our kids motors, minds and style of play.",en,Reply,107,7662,389,144,1923383,2024-02-16 09:51:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1758360059208143056,YEEEEAAAAAHHHH NIECE!!!!!! 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾🙌🏾🙌🏾🙌🏾🤎🤎🤎🤎🤎,en,Tweet,17,3733,150,142,1139430,2024-02-16 00:18:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1757980004833521811,Lil bro going CRAZY tonight!!!!! YEEEAAAHHHH RUUUUUU🗣️🗣️🗣️🗣️,en,Tweet,593,65517,5641,604,4392556,2024-02-14 23:07:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1757974994032754806,12 mins left! LETS GOOOOOO,en,Tweet,120,22445,982,482,2173708,2024-02-14 22:47:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1757973545966047299,@Rjeff24 @RealAClifton 👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾!!!! Super happy and proud @RealAClifton. So 🔥🔥🔥🔥🔥🔥,en,Reply,36,3729,145,58,394316,2024-02-14 22:42:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1757876450466693534,I keep telling ya'll what we're doing at House Three Thirty in Akron is SPECIAL!! @LJFamFoundation 🤎🤎 HUGE s/o to @GraduateHotels for always understanding the vision and being part of the journey. 🫡🙏🏾👑 https://t.co/JSRbdEusTe,en,Tweet,34,1614,147,146,510682,2024-02-14 16:16:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1757750347156553728/vid/avc1/1280x720/Ic1Uyej6GzKjllvh.mp4?tag=14
1757849349697003829,🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾🙏🏾,art,Tweet,49,7380,304,309,1264798,2024-02-14 14:28:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1758638504354161001,"When Francesca Cabrini sets foot in New York in 1889, she is greeted by disease, crime, and impoverished children living in slums. With a fearless spirit and compassionate heart, Cabrini sets off to convince the mayor to secure housing and healthcare for our most vulnerable.",en,Retweet,98,1008,191,52,3673,2024-02-16 18:44:28,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",,,,
1757110644934098964,AYYYYYEEEE!!!! 🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾,und,Tweet,38,7205,359,220,1118661,2024-02-12 13:33:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1756851802304299272,@CuffsTheLegend UNREAL MAN!!! Prayers to Dre Greenlaw. An absolute BEAST,en,Reply,21,5080,140,56,266212,2024-02-11 20:24:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1756074564512354490,After all this time I’m still proving them wrong! I mean you would think they know by now but you know when it comes to me.,en,Tweet,2334,70213,6480,2798,24526727,2024-02-09 16:56:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1755346388878348732,It's not all talk with @DKSportsbook! We're bringing you the LBJ Replay!! 👑🔁 Place any bet on Super Bowl LVIII and get a bonus bet back INSTANTLY in the amount of your initial bet. 4 more sleeps! 🙌🏾🏈 #DKPartner https://t.co/Dr1hUYioWa,en,Tweet,27,2106,264,313,669356,2024-02-07 16:42:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#DKPartner,,photo,https://pbs.twimg.com/media/GFw-PNaakAA6SSt.jpg
1755627620014682466,"🎙️ Catch Dr Tom McCarthy on The MotorMouth Podcast talking #AutonomousRacing and A2RL's future! 💡Tune in for a deep dive and follow us for the latest event updates.
Listen to the full podcast here: https://t.co/GcsTJprCSI

#A2RL #ASPIREUAE #MotorMouthPodcast https://t.co/Rm55ko18G5",en,Tweet,29,433,16,5,2614777,2024-02-08 11:20:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#AutonomousRacing,#A2RL,#ASPIREUAE,#MotorMouthPodcast",http://spoti.fi/48cz1Y9,video,https://video.twimg.com/ext_tw_video/1755627440037117952/pu/vid/avc1/720x720/CgwMGUu_K-bNWtlp.mp4?tag=12
1754985171290615982,🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾🙌🏾🤝🏾,art,Tweet,50,5180,271,299,1238513,2024-02-06 16:47:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1753646465438671034,@CuffsTheLegend AGREED!!! I’m not quite understanding this! Cause it can’t be about Ws/Ls cause cats have definitely gotten in with wayyy nastier records in the past. He be cooking EVERY NIGHT! Stop it! He’s an All-⭐️ for sure. Something is REAL 🐠-E. 🤔,en,Reply,500,26376,2551,588,1936494,2024-02-03 00:07:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1753645675198226727,@pr_RWTW 🗽👑,qme,Reply,333,12195,973,688,3101229,2024-02-03 00:04:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1753480948392325520,"Where are all the media outlets, tv media personalities, hot takes that talked so much 💩 about Joel Embiid about missing those games when he knew what he was dealing with.",en,Tweet,1102,75870,7274,2788,7471107,2024-02-02 13:10:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
