tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1759646195721417102,"So Wilson made a $2500 AIRLESS basketball from 3D printing techniques. It won’t be replacing a leather ball anytime soon, but honestly a pretty damn cool idea https://t.co/Cj1oHpsl5f",en,Tweet,2108,28626,2145,521,3415372,2024-02-19 13:28:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1759646090289197057/vid/avc1/720x1280/vi8wSFvDIyGBk6Fp.mp4?tag=14
1759648830830596595,@T_Investor_ Nope :/,en,Reply,5,361,0,8,55973,2024-02-19 13:39:08,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
1759566477017890912,"Step into the minds of the world's top investors and business #leaders from the ""Risk and Rewards"" panel at #FIIPRIORITY. Get ready to tune in to their insights on the future of public vs private #markets and how they're adapting their strategies for success in 2024 and beyond.",en,Tweet,4,71,1,6,779412,2024-02-19 08:11:53,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","#leaders,#FIIPRIORITY,#markets",,,
1759648761570058276,@nickfloats Only about 20 more grams than the normal ball - 620 vs 590,en,Reply,3,377,1,14,58357,2024-02-19 13:38:52,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
1759607916250775669,"@ZacksJerryRig @MrBeast @X Still won't stop the ""why don't you post more on X"" comments",en,Reply,30,4819,38,40,138935,2024-02-19 10:56:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1759593137595355477,"Things that matter to tech reviewers that don't actually matter to normal people: Overuse of the word ""review""

Not everything is a review!

So often I'll quick first impressions video or first look, and half the comments say ""nice review"" and it bothers me more than it should🫠",en,Tweet,86,7128,169,277,657959,2024-02-19 09:57:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1759557096650010710,My new favorite website: https://t.co/3DIIbNfdJx,en,Tweet,1040,6946,259,278,1323730,2024-02-19 07:34:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://AI.com,,
1759260315936596050,@elonmusk *roadster noises*,en,Reply,54,7079,131,188,283519,2024-02-18 11:55:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1759066626467541216,we were spoiled https://t.co/yW9kScx4Cw,en,Retweet,685,62080,5646,152,1916601,2024-02-17 23:05:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GGl1xdHW4AAVhkT.jpg,https://pbs.twimg.com/media/GGl1xdGW8FcTPEv.jpg"
1759237004154290277,@rjc_uk @SawyerMerritt Makes you think,en,Reply,1,166,0,3,4055,2024-02-18 10:22:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
