tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1760091172830159225,@Yfz84 NO,und,Reply,4,412,13,84,11196,2024-02-20 18:56:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1759424441585385559,"I’m seeing this a lot, doing everything I can to restock stores with the new Feastables bar, only so many I can put on a shelf 😅❤️",en,Tweet,296,29509,1345,2748,7870142,2024-02-18 22:47:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1760000960418439308,If you run a business you’d find this interesting. A store forgot to put out our 35g milk chocolate bar and on the 16th I put the box from the back of store to checkout (where it was supposed to be) and look at our sales the following days at that checkout lane lol https://t.co/YhjXqbtdEF,en,Reply,108,8265,434,837,1167519,2024-02-20 12:58:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GGzHi8QW4AAaovf.jpg
1760003663995486492,"The reason I’m doing all this investigation is I had tons of Feastables promo planned but I don’t want to send people to stores if shelves are empty. Don’t want to waste people’s time, after 4 days of restocking shelves I’ve concluded I should chill on the promo for a bit to not waste people’s time.",en,Reply,96,9298,454,1186,1053396,2024-02-20 13:09:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1759805292332650503,@MrBeast_Stats WHAT ARE THE ODDS I READ THIS TWEET AT EXACTLY MIDNIGHT AND NOW I CANT TWEET ABOUT IT BECAUSE ITS NO LONGER THE CHANNEL’S BIRTHDAY AS OF 30 SECONDS AGO LOL,en,Reply,131,29785,640,819,857024,2024-02-20 00:00:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1759458227769520494,@TheDenofNerds ❤️,qme,Reply,15,2505,104,313,296614,2024-02-19 01:01:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1759426194288570487,@BenGleib2024 @Feastables I had like a million bars set aside for the website so people could try it but I had to ship them to stores to fill demand,en,Reply,11,1416,68,165,91692,2024-02-18 22:54:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1758976973131673674,"This is the biggest announcement of my entire life, let me know what you think https://t.co/xtND5vNkPH",en,Tweet,9014,157723,10656,9917,14289762,2024-02-17 17:09:25,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1758964779358814208/vid/avc1/1920x1080/FcOFnisDCrBQGHYx.mp4?tag=16
1759422592916578470,"@TaraBull808 I failed 😔

Will fix asap 🫡",en,Reply,13,1453,46,121,176776,2024-02-18 22:40:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1758658641442570638,@Casey 🔥,qme,Reply,10,3260,86,259,346208,2024-02-16 20:04:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1758642415567819019,"I found 100 people ages 1 thru 100 and trapped them in cubes. Then they competed in mental/physical challenges for $500,000 to see which age is the best :D https://t.co/oMnP46zfYi",en,Tweet,8318,119665,9756,6250,51851255,2024-02-16 19:00:00,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1758282993809104896/vid/avc1/1920x1080/hH6oHY2uu_N4KbUC.mp4?tag=16
1758602084239216991,"@Lisaelizabeth I’d recommend this one!

https://t.co/GI0cnMaGIi",en,Reply,96,25526,419,447,868496,2024-02-16 16:19:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://youtu.be/FM7Z-Xq8Drc?si=boFDOtJ4ZuIJ68s3,,
1758600668812554257,"@creation247 I recommend you watch this one! 

https://t.co/GI0cnMaGIi",en,Reply,56,8134,322,437,526134,2024-02-16 16:14:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://youtu.be/FM7Z-Xq8Drc?si=boFDOtJ4ZuIJ68s3,,
1758309218061373448,"@HappyPower Yeah, I like to think of it like my videos. Took me a long time to perfect making them good and I’m on the same journey with snacks! I personally put 1,000+ hours into this new bar, took a while but I’m incredibly happy with how it turned out 🥰",en,Reply,44,5361,198,510,387274,2024-02-15 20:56:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1758213305989283914,"@sama @_tim_brooks @billpeeb @model_mechanic Hmmm, a monkey playing chess in a park.",en,Reply,52,3118,95,194,323268,2024-02-15 14:34:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1758194696034365674,@sama @_tim_brooks @billpeeb @model_mechanic Sam plz don’t make me homeless,en,Reply,113,10997,388,488,931607,2024-02-15 13:20:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1757930002161770723,@Michael90879230 ❤️,qme,Reply,6,524,45,108,20869,2024-02-14 19:49:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1753035099849851258,"Set your sights on the 2nd edition of #FIIPRIORITY in #Miami on Feb 22-23,2024, as we convene #investors, leaders, &amp; governments to accelerate actionable solutions for global challenges &amp; channelling capital for an #ImpactOnHumanity on the theme ""On the Edge of a New Frontier.’",en,Tweet,5,137,2,2,1048247,2024-02-01 07:38:32,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","#FIIPRIORITY,#Miami,#investors,#ImpactOnHumanity",,,
1753564395676774464,"We found 100 stranded/abandoned dogs and spent over $1,000,000 to find them loving homes! This is one of my favorite videos so I hope you consider adopting a dog :) https://t.co/cfEI3xj672",en,Tweet,10937,365681,36233,15084,149875948,2024-02-02 18:41:46,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1753552621195980801/vid/avc1/1920x1080/JSa1RGFO_OmsmIkI.mp4?tag=16
1756709641713819884,@KcShearouse If you watch the video we gave everyone that adopted one $20k,en,Reply,14,2407,118,737,116216,2024-02-11 10:59:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1756551613291139414,"@sama I was thinking, if you get that 7 trillion dollars you could give me like .01% of that and it’d fund my videos for a long time. Thx for considering",en,Reply,103,9433,337,851,1329392,2024-02-11 00:31:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1756449342548738092,@Clix lol,und,Reply,47,8618,155,331,702943,2024-02-10 17:45:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1756362702090391965,If you don’t watch my new YouTube video right now I’ll be very sad,en,Tweet,400,81308,4537,12200,8171488,2024-02-10 12:01:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1756168327846559939,@Feastables 🥰,qme,Reply,20,5076,269,508,470471,2024-02-09 23:08:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1755349938282664031,@hitsman 😮,qme,Reply,20,2553,138,396,429352,2024-02-07 16:56:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
1755082713491550292,@tferriss @FoundersPodcast Redbull one was good,en,Reply,40,1527,128,456,387539,2024-02-06 23:15:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
