name,username,userId,can_dm,created_at,bio,tweets_count,followers_count,following_count,favourites_count,location,media_count,profile_banner_url,profile_url,avatar_url,verified,blue_verified
CNA,ChannelNewsAsia,'38400130',true,2009-05-07 05:14:43,The official space of CNA - the source of breaking news from Asia and the world. Send news tips to https://t.co/n7LPqIiX5d,735322,1296285,184,324,Singapore,528309,https://pbs.twimg.com/profile_banners/38400130/1577341257,https://www.twitter.com/ChannelNewsAsia,https://pbs.twimg.com/profile_images/1119289014719139840/pJBjLkG7_normal.png,false,true
ming,dmingthing,'87653986',false,2009-11-05 04:53:10,"Digital Native 
|| The Ming Thing / One Two Juice / Takeaway Table ||
 📬: contact@blankslate.works",32565,10605,257,1131,Kuala Lumpur City,2164,https://pbs.twimg.com/profile_banners/87653986/1583072928,https://www.twitter.com/dmingthing,https://pbs.twimg.com/profile_images/1358584680090537985/rs3BSCDA_normal.jpg,false,false
mrbrown,mrbrown,'574253',true,2007-01-05 05:18:24,"LEE Kin Mun, Blogfather of Singapore, satirist, writer, lyricist, traveler, photographer, podcaster. Papa of Faith, Isaac & Joy. mr_brown on IG and Threads.",68171,413752,7542,47872,Singapore,9037,https://pbs.twimg.com/profile_banners/574253/1634555137,https://www.twitter.com/mrbrown,https://pbs.twimg.com/profile_images/1590016056566853632/CBY6QqeH_normal.jpg,false,false
Joakim Gomez,JoakimGomez,'325059717',false,2011-06-27 13:33:22,"@987FM Producer/Presenter | @987ShockCircuit, Weekdays 6 - 10am | Host | Actor | VO-Artiste | Sports https://t.co/J6MqWQ8oNo",34029,19318,1262,3706,Singapore,1538,https://pbs.twimg.com/profile_banners/325059717/1653714114,https://www.twitter.com/JoakimGomez,https://pbs.twimg.com/profile_images/1602309644567064576/ekVtkLLy_normal.jpg,false,false
SEZAIRI 🌤️,sezairi,'36800569',false,2009-04-30 18:51:42,Songwriter & Music Maker | New album ‘Self Soothing’  OUT NOW!,21442,49764,689,6417,"East Region, Singapore",2176,https://pbs.twimg.com/profile_banners/36800569/1693218619,https://www.twitter.com/sezairi,https://pbs.twimg.com/profile_images/1696107893358309376/lj9aCM3q_normal.jpg,false,false
Tosh La Rock,toshrock,'67577830',false,2009-08-21 06:44:50,🌕🌖🌗🌘👽🌒🌓🌔🌕,28752,285830,584,5977,Singapore,2323,https://pbs.twimg.com/profile_banners/67577830/1538563980,https://www.twitter.com/toshrock,https://pbs.twimg.com/profile_images/1774734005205975040/IhvAEtsW_normal.jpg,false,false
bani haykal,fdbckfdfwd,'146306799',true,2010-05-20 23:22:21,musician / artist piecing together schematics for polyphonic futures // intimate machines // inefficient instruments // stories about resisting refusal & repair,24600,3722,1236,53605,whatwhere,2972,https://pbs.twimg.com/profile_banners/146306799/1613349674,https://www.twitter.com/fdbckfdfwd,https://pbs.twimg.com/profile_images/852206873646321664/UyocnslJ_normal.jpg,false,false
Hossan Leong (tick myself),HossanLeong,'28776864',false,2009-04-04 07:21:04,"Chevalier de l'Ordre des Arts et des Lettres, Actor, Host, Standup Comedian, Director, https://t.co/XiP1WPLa9e | chope@doubleconfirm.sg | IG:@hossanleong",24471,52025,70,7711,Worldwide,2342,https://pbs.twimg.com/profile_banners/28776864/1689987809,https://www.twitter.com/HossanLeong,https://pbs.twimg.com/profile_images/1608571500654923776/87qVdQ9D_normal.jpg,false,false
inch 🇸🇬,inchchua,'83816651',true,2009-10-20 06:36:22,welcome to the home address of my unsolicited random brain farts ✨,1381,4383,646,8334,🇸🇬🇺🇸,340,https://pbs.twimg.com/profile_banners/83816651/1715261218,https://www.twitter.com/inchchua,https://pbs.twimg.com/profile_images/1787780466793447424/f04yzPLP_normal.jpg,false,false
LakeShowYo,LakeShowYo,'3177285932',true,2015-04-26 22:17:13,Want awesome rewards for being a Lakers fan? Download the Autograph app and use code: lakeshowyo  👇,16113,463276,28673,96,,8521,https://pbs.twimg.com/profile_banners/3177285932/1642109263,https://www.twitter.com/LakeShowYo,https://pbs.twimg.com/profile_images/1746963160102490112/u9czZIdh_normal.jpg,false,true
no context memes,weirddalle,'1492677599390322689',true,2022-02-12 20:50:55,memes and weird ai generations | dm for promo | @hardaipics | follow my IG,7574,1728992,467,6433,,6279,,https://www.twitter.com/weirddalle,https://pbs.twimg.com/profile_images/1694331764091564032/My5iC3pg_normal.jpg,false,true
Kristi Yamaguccimane,TheWapplehouse,'1312133657080012807',true,2020-10-02 16:54:31,•America’s Stepdad•@jortscenterpod•alt @wapplehouse•,26141,136836,2882,76111,"Monkey Junction, NC",4309,https://pbs.twimg.com/profile_banners/1312133657080012807/1706840680,https://www.twitter.com/TheWapplehouse,https://pbs.twimg.com/profile_images/1789174653501480960/kqw434fi_normal.jpg,false,true
