name,username,userId,can_dm,created_at,bio,tweets_count,followers_count,following_count,favourites_count,location,media_count,profile_banner_url,profile_url,avatar_url,verified,blue_verified
Yale ICF,YaleICF,'2319464228',false,2014-01-30 15:11:33,Providing academic & professional support for research in financial economics @YaleSOM. #YaleICF #SOMfinfac #ICF_FinancialHistoryFriday #YaleBlockchain,3991,2091,270,2567,"New Haven, CT",1004,https://pbs.twimg.com/profile_banners/2319464228/1573678017,https://www.twitter.com/YaleICF,https://pbs.twimg.com/profile_images/1037420397917032448/zwENVZBx_normal.jpg,false,false
Yale Insights,YaleInsights,'36769917',true,2009-04-30 16:55:14,"Deepen your knowledge of business and society with expertise from @YaleSOM, the Yale School of Management. Sign up for the newsletter: https://t.co/PuFzVVRnI7",4985,6216,834,1605,"New Haven, CT",426,https://pbs.twimg.com/profile_banners/36769917/1549036846,https://www.twitter.com/YaleInsights,https://pbs.twimg.com/profile_images/877940202161000449/VTSS25h__normal.jpg,false,false
Yale Alumni,YaleAlumni,'1485527791',false,2013-06-05 13:03:40,"The official account of the Yale Alumni Association 
#YaleAlumni",20321,5845,688,19704,Worldwide,5016,https://pbs.twimg.com/profile_banners/1485527791/1685479010,https://www.twitter.com/YaleAlumni,https://pbs.twimg.com/profile_images/1678824149874081792/PigwZGAI_normal.jpg,false,false
Yale OIA,Yale_OIA,'4854756227',false,2016-01-27 15:19:28,"Yale University's Office of International Affairs supports the international activity of all schools, departments, offices, centers, and organizations at Yale.",1508,1384,355,1120,"New Haven, CT",300,https://pbs.twimg.com/profile_banners/4854756227/1468611936,https://www.twitter.com/Yale_OIA,https://pbs.twimg.com/profile_images/1164638072425918464/vWWifp6e_normal.png,false,false
Tsai Center for Innovative Thinking at Yale,TsaiCITY,'297988115',false,2011-05-13 09:31:42,We inspire students from diverse backgrounds and disciplines to seek innovative ways to solve real-world problems.,2962,2763,329,471,"New Haven, CT",1158,https://pbs.twimg.com/profile_banners/297988115/1721311634,https://www.twitter.com/TsaiCITY,https://pbs.twimg.com/profile_images/1293677651215949824/IRCYrhdg_normal.jpg,false,false
🌎Yale Center for Business and the Environment,YaleCBEY,'382783908',false,2011-09-30 13:40:12,"Our mission is to inspire, support, and accelerate the transition to a just and thriving world. Taking a break here. Talk to us on LinkedIn!",6930,4608,668,3641,"Yale University, New Haven",895,https://pbs.twimg.com/profile_banners/382783908/1431695835,https://www.twitter.com/YaleCBEY,https://pbs.twimg.com/profile_images/1677275049559052288/PyxEIbjD_normal.jpg,false,false
YCCI @ Yale SOM,YaleCCI,'121573375',false,2010-03-09 18:00:46,"Yale Center for Customer Insights (YCCI). #behavioralscience + #bigdata learning lab for #marketing, innovation & #insights leaders.",5235,2114,587,1039,New Haven,586,https://pbs.twimg.com/profile_banners/121573375/1398785368,https://www.twitter.com/YaleCCI,https://pbs.twimg.com/profile_images/1711805647933648896/n0cYxiso_normal.jpg,false,false
Harvard University,Harvard,'39585367',false,2009-05-12 16:18:09,"Official account for Harvard University. Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.",50020,1685271,733,10406,"Cambridge, MA",5897,https://pbs.twimg.com/profile_banners/39585367/1715873140,https://www.twitter.com/Harvard,https://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg,false,true
Stanford University,Stanford,'18036441',true,2008-12-10 20:06:56,Our mission of discovery and learning is energized by a spirit of optimism and possibility that dates to our founding.,21476,1035151,581,262,"Stanford, CA",3808,https://pbs.twimg.com/profile_banners/18036441/1698857204,https://www.twitter.com/Stanford,https://pbs.twimg.com/profile_images/875395483128049664/8z_jvdLB_normal.jpg,false,true
Princeton University,Princeton,'5694822',false,2007-05-01 17:04:01,The official account of Princeton University. In the Nation’s Service and the Service of Humanity.,49547,557143,1103,19620,"Princeton, NJ",13276,https://pbs.twimg.com/profile_banners/5694822/1736523860,https://www.twitter.com/Princeton,https://pbs.twimg.com/profile_images/1797623544408612864/sCBUar6X_normal.jpg,false,true
Columbia University,Columbia,'248795646',false,2011-02-07 13:58:59,"News, events, and ideas from Columbia University in the City of New York. Recent statements and announcements: https://t.co/fmIw8er2qP",34271,528980,695,8711,"New York, New York",6194,https://pbs.twimg.com/profile_banners/248795646/1734806968,https://www.twitter.com/Columbia,https://pbs.twimg.com/profile_images/1542819032314683392/guXo5Y-K_normal.jpg,false,true
Yale Football,yalefootball,'529530470',true,2012-03-19 12:55:46,The official Twitter account of Yale Football. 2022 and 2023 Ivy League Champs 💍 💍 . NCAA Division I FCS & Ivy League member.,5956,93635,21015,2586,"New Haven, CT",3872,https://pbs.twimg.com/profile_banners/529530470/1669220571,https://www.twitter.com/yalefootball,https://pbs.twimg.com/profile_images/1595452781858537475/IB9SewN1_normal.jpg,false,false
Penn,Penn,'24894213',true,2009-03-17 11:03:50,"Official profile for news, events and interesting updates from the University of Pennsylvania. Account managed by University Communications.",42876,219205,1139,8041,"Philadelphia, PA",11729,https://pbs.twimg.com/profile_banners/24894213/1591644174,https://www.twitter.com/Penn,https://pbs.twimg.com/profile_images/1197612145820594176/omdc0qqe_normal.jpg,false,true
Ivy League,IvyLeague,'176926525',false,2010-08-10 16:19:48,World-class academics. 92 nationally-ranked teams in 2023-24. Unmatched campus opportunities. Path to lifelong success. #UnrivaledExperience 🌿,65192,52247,1545,23549,Worldwide,19249,https://pbs.twimg.com/profile_banners/176926525/1728929419,https://www.twitter.com/IvyLeague,https://pbs.twimg.com/profile_images/1676564391158792194/obXrCbeb_normal.jpg,false,false
Cornell University,Cornell,'17369110',false,2008-11-13 12:12:07,Learning. Discovery. Engagement. Join the #Cornell conversation.,24022,405745,655,17446,"Ithaca, New York",4604,https://pbs.twimg.com/profile_banners/17369110/1733410335,https://www.twitter.com/Cornell,https://pbs.twimg.com/profile_images/1628061478392676360/VclPg22R_normal.jpg,false,true
Yale Athletics,YaleAthletics,'26266640',false,2009-03-24 12:19:13,The official Twitter account of the Yale University Bulldogs. #ThisIsYale,24094,16807,333,4724,"New Haven, CT",1778,https://pbs.twimg.com/profile_banners/26266640/1656654287,https://www.twitter.com/YaleAthletics,https://pbs.twimg.com/profile_images/1542746010576834561/xyKevUgl_normal.jpg,false,true
Yale Law School,YaleLawSch,'59226213',false,2009-07-22 15:43:24,The official account of Yale Law School.,7509,90908,168,1,"New Haven, CT",947,https://pbs.twimg.com/profile_banners/59226213/1536669784,https://www.twitter.com/YaleLawSch,https://pbs.twimg.com/profile_images/1396970337166893067/cyHvDgBR_normal.jpg,false,false
Yale Daily News,yaledailynews,'39114551',true,2009-05-10 17:23:48,The Oldest College Daily,17181,33196,498,1089,"New Haven, CT",2012,https://pbs.twimg.com/profile_banners/39114551/1721145775,https://www.twitter.com/yaledailynews,https://pbs.twimg.com/profile_images/1813276761574064128/bV8vI9pf_normal.jpg,false,false
Yale School of Public Health,YaleSPH,'86964484',false,2009-11-02 10:32:59,Linking science and society | We condemn hate and scientific misinformation. We are staying at the table to promote light and truth.,14867,23778,1747,5152,Yale School of Public Health,2443,https://pbs.twimg.com/profile_banners/86964484/1732029707,https://www.twitter.com/YaleSPH,https://pbs.twimg.com/profile_images/935256321234034690/YZN9jfbN_normal.jpg,false,false
Yale School of Medicine,YaleMed,'40047360',true,2009-05-14 13:57:53,"The official Twitter feed for Yale School of Medicine, a world-renowned center for biomedical research, education, and health care founded in 1810.",15503,162074,735,9718,"New Haven, CT",2212,https://pbs.twimg.com/profile_banners/40047360/1726758381,https://www.twitter.com/YaleMed,https://pbs.twimg.com/profile_images/1159176767623651329/psl32ghJ_normal.png,false,false
