,Unnamed: 0,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls,sentiment,pca_x,pca_y,tsna_x,tsne_y
0,0,1764020124271452377,"Jason Stanley, a Yale philosopher and propaganda scholar, discusses his new book about how political messages can be embedded in seemingly straightforward statements — and how politicians often harness this phenomenon “in devious ways.” https://t.co/f0Fizm7KhA #Yale https://t.co/picZgwj6AY",en,Tweet,6,19,7,7,11243,2024-03-02 15:09:06,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",#Yale,http://bit.ly/49pWt5N,photo,https://pbs.twimg.com/media/GHsO8AUXUAA8xdV.jpg,60.0,0.04788538877095402,-0.2732531193718442,9.593822,-6.3610797
1,1,1764011041950716273,"Motivated in part by the emergence of his own son’s allergy, @YaleMed rheumatologist Andrew Wang is working to understand an increase in autoimmune and allergic diseases and how the modern environment is affecting our immune system. #Yale https://t.co/YSooOUAJKR",en,Tweet,1,16,0,0,3467,2024-03-02 14:33:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",#Yale,https://medicine.yale.edu/internal-medicine/news-article/why-are-autoimmune-and-allergic-diseases-rising-andrew-wang/,,,75.0,0.29508853413968983,0.047462540010935805,52.975456,-1.7968093
2,2,1763612673629979129,"Reversing the effects of common blood-thinning medications is crucial for patients experiencing a brain bleed — and, according to a new Yale study, such treatment is more urgent than previously understood. @YaleMed #Yale https://t.co/yQgrvjyHKs",en,Tweet,1,23,3,2,4177,2024-03-01 12:10:02,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",#Yale,https://medicine.yale.edu/news-article/faster-brain-hemorrhage-treatment-increases-survival-odds-new-study-finds/,,,75.0,0.39325757755506796,0.1361424504283856,59.144257,1.4894776
3,3,1763557070639411224,Scientists have long puzzled over the cause of so-called “Snowball Earth” periods of global glaciation in the planet’s distant past. A new study by Yale researchers offers a novel theory — large asteroid impacts. https://t.co/BzbkW4XFX0 #Yale https://t.co/37j3oZC32e,en,Tweet,1,27,2,3,4978,2024-03-01 08:29:05,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",#Yale,http://bit.ly/3uMQMQ2,photo,https://pbs.twimg.com/media/GHlpyvZXQAAblUB.jpg,70.0,0.18547670220435797,0.031395406910904144,24.898262,-20.277372
4,4,1763262365749911755,"U.S. museums have seen a wave of unionization in recent years. In a new paper, @YaleSOM experts examine museum labor trends and offer guidance to parties on both sides of the table at mission-driven organizations. #Yale 
https://t.co/ih416jVKk5",en,Tweet,1,24,4,3,4240,2024-02-29 12:58:02,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",#Yale,https://insights.som.yale.edu/insights/what-happens-when-unions-bargain-for-social-justice,,,75.0,0.010905610807592959,-0.1402689616380961,-9.982537,-27.545256
5,5,1763204728643637441,"A new Yale School of Public Health co-led study finds that childhood obesity rates have more than doubled in Samoa in the last decade, with one in 10 children as young as six now at risk of diabetes. @YaleSPH #Yale 
https://t.co/vj7HMqD9G5",en,Tweet,0,13,1,5,3646,2024-02-29 09:09:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",#Yale,https://ysph.yale.edu/news-article/samoan-children-as-young-as-six-are-at-risk-of-diabetes-yale-study-shows/,,,25.0,0.2738590497081716,0.013102624012352144,36.768753,-10.999966
6,6,1762938234936381904,"Sven Eenmaa ’98 M.B.A., director of investment and economic analysis at the International Space Station U.S. National Laboratory, explains the state — and prospects — of the burgeoning outer-space economy. @YaleSOM #Yale 
https://t.co/kstlUJlQnN",en,Tweet,0,14,3,4,3981,2024-02-28 15:30:03,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",#Yale,https://insights.som.yale.edu/insights/assembling-an-economy-in-space,,,70.0,-0.015776852014488595,-0.2192258443575582,17.82602,22.332031
7,7,1762916348852601060,"In a new study, Yale researchers discovered specific genetic mutations that suppress a plant’s growth but don’t affect its ability to flower, an insight that may lead to advances in agriculture. https://t.co/GWuGWowGm3 #Yale https://t.co/pA3ePXYYEU",en,Tweet,1,21,1,3,4398,2024-02-28 14:03:05,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",#Yale,http://bit.ly/49vt0qY,photo,https://pbs.twimg.com/media/GHcjD0xWcAAIkK5.jpg,75.0,0.30663009491022236,0.1111504012440142,42.901173,-9.198839
8,8,1762593724599554146,"What do Yalies in Palm Beach, New York, Atlanta, and Houston have in common? They're all celebrating FEB CLUB of course!! 🙌 🎉 

Find your nearest Feb Club gathering now: https://t.co/lqauzC58dZ https://t.co/iDkzKihEhH",en,Retweet,0,10,3,1,3782,2024-02-27 16:41:06,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,https://bit.ly/3YjE2K5,photo,https://pbs.twimg.com/media/GHX9ooUXgAAOWIs.jpg,85.0,-0.21259723136515163,0.13618302310362035,-46.838436,-7.692747
9,9,1762553689292595291,"Two new exhibitions at the Yale University Art Gallery highlight, respectively, Expressionist prints from an early-20th-century Europe beset by crisis and visual design by a trailblazing champion of advocacy and inclusion. @YaleArtGallery  #Yale https://t.co/FXeRynHtkR",en,Tweet,0,19,4,5,4183,2024-02-27 14:02:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",#Yale,https://mailchi.mp/yale.edu/yale_art_gallery_february_newsletter_2023-205326?e=b26963e2ef,,,75.0,-0.18686165823212406,-0.02006228825617646,-18.157812,-23.637886
